test_set,blur_size,noise_level,accuracy,f1,precision_overall,recall_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,f1_immune,f1_other,f1_stromal,f1_tumour,confidence_overall,confidence_immune_avg,confidence_other_avg,confidence_stromal_avg,confidence_tumour_avg,confidence_immune_std,confidence_other_std,confidence_stromal_std,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour,confusion_matrix
1,7,1,0.5395,0.5169137625629229,0.568653303787767,0.5395,0.7790927021696252,0.45309734513274336,0.549645390070922,0.49277777777777776,0.395,0.256,0.62,0.887,0.5242203052422031,0.3271565495207668,0.5827067669172933,0.6335714285714286,0.51972884,0.5515924,0.43984163,0.56745684,0.5059201,0.13815689,0.08238546,0.1348771,0.12557063,507,565,1128,1800,"[[395, 134, 154, 317], [58, 256, 308, 378], [41, 121, 620, 218], [13, 54, 46, 887]]"
1,9,1,0.522,0.4933269710939062,0.5534195765819356,0.522,0.7933333333333333,0.4111969111969112,0.5239669421487604,0.48518111964873767,0.357,0.213,0.634,0.884,0.4924137931034483,0.28063241106719367,0.5737556561085972,0.6265060240963856,0.51890785,0.5271557,0.44016197,0.568578,0.50627214,0.12797606,0.08108945,0.13551071,0.12606552,450,518,1210,1822,"[[357, 137, 179, 327], [53, 213, 340, 394], [32, 117, 634, 217], [8, 51, 57, 884]]"
1,19,1,0.50125,0.46152832649138503,0.5407501725685347,0.50125,0.8229166666666666,0.3880208333333333,0.47127222982216144,0.4807909604519774,0.316,0.149,0.689,0.851,0.45664739884393063,0.2153179190751445,0.5597075548334687,0.6144404332129964,0.5118485,0.4834386,0.42464495,0.56942904,0.48936996,0.10424765,0.071678415,0.1388609,0.123763874,384,384,1462,1770,"[[316, 105, 246, 333], [40, 149, 435, 376], [21, 80, 689, 210], [7, 50, 92, 851]]"
1,0,3,0.61425,0.6042535088884372,0.6200598278997335,0.61425,0.7153284671532847,0.5678466076696165,0.6240079365079365,0.5730563002680965,0.588,0.385,0.629,0.855,0.6454445664105378,0.45887961859356374,0.6264940239043825,0.6861958266452648,0.5244503,0.5999276,0.44256663,0.5554135,0.49915814,0.17332432,0.0853681,0.13701905,0.1262208,822,678,1008,1492,"[[588, 103, 115, 194], [102, 385, 232, 281], [74, 135, 629, 162], [58, 55, 32, 855]]"
1,1,3,0.6105,0.6000302024699777,0.6159681870248881,0.6105,0.7127272727272728,0.5567010309278351,0.625,0.5694444444444444,0.588,0.378,0.615,0.861,0.6443835616438356,0.4502680166765932,0.6199596774193549,0.6855095541401274,0.52364016,0.59915054,0.43909037,0.5555493,0.49964187,0.17277578,0.08644025,0.1358723,0.12586388,825,679,984,1512,"[[588, 107, 110, 195], [102, 378, 229, 291], [80, 140, 615, 165], [55, 54, 30, 861]]"
1,3,3,0.592,0.5787364784056401,0.6023466768001874,0.592,0.7320703653585927,0.5243328100470958,0.6100196463654224,0.5429638854296388,0.541,0.334,0.621,0.872,0.6221966647498562,0.40806353084911423,0.6154608523290387,0.6692248656945511,0.5222223,0.588701,0.44062045,0.56023955,0.4999004,0.16604824,0.0843239,0.13579088,0.12480613,739,637,1018,1606,"[[541, 112, 117, 230], [92, 334, 247, 327], [70, 132, 621, 177], [36, 59, 33, 872]]"
1,5,3,0.56025,0.542632583267961,0.5792322514656492,0.56025,0.755700325732899,0.474036850921273,0.5773195876288659,0.5098722415795587,0.464,0.283,0.616,0.878,0.5749690210656754,0.3544145272385723,0.5960328979196904,0.6451138868479059,0.5208501,0.5749163,0.43964046,0.5640073,0.5029855,0.15514767,0.08350966,0.13425405,0.12480166,614,597,1067,1722,"[[464, 121, 137, 278], [73, 283, 278, 366], [54, 130, 616, 200], [23, 63, 36, 878]]"
1,7,3,0.53975,0.5171930641767176,0.5688015091723728,0.53975,0.7810650887573964,0.4507042253521127,0.5498220640569395,0.49361465852304276,0.396,0.256,0.618,0.889,0.5255474452554745,0.32653061224489793,0.5819209039548022,0.6347732952516958,0.51952064,0.55189747,0.43937302,0.56773406,0.50559336,0.13834313,0.0821623,0.13471201,0.12554637,507,568,1124,1801,"[[396, 135, 153, 316], [58, 256, 307, 379], [41, 124, 618, 217], [12, 53, 46, 889]]"
1,9,3,0.52175,0.4929682715362045,0.5525637967705203,0.52175,0.7915742793791575,0.4092664092664093,0.5239669421487604,0.485447556287754,0.357,0.212,0.634,0.884,0.49207443142660234,0.27931488801054016,0.5737556561085972,0.6267281105990783,0.5188234,0.5275599,0.44040918,0.56821024,0.5061492,0.12792161,0.08136108,0.13561493,0.12594245,451,518,1210,1821,"[[357, 138, 179, 326], [53, 212, 340, 395], [33, 117, 634, 216], [8, 51, 57, 884]]"
1,19,3,0.5015,0.4619644399845198,0.5407442993807563,0.5015,0.8229166666666666,0.3865979381443299,0.4732142857142857,0.4802483069977427,0.316,0.15,0.689,0.851,0.45664739884393063,0.21613832853025935,0.5610749185667753,0.613997113997114,0.5117735,0.48428214,0.42408457,0.5698347,0.4892244,0.104169175,0.072417855,0.13838303,0.123547725,384,388,1456,1772,"[[316, 108, 243, 333], [41, 150, 432, 377], [20, 80, 689, 211], [7, 50, 92, 851]]"
1,0,5,0.614,0.6040088689122555,0.6199851211007165,0.614,0.713939393939394,0.5712166172106825,0.622398414271556,0.5723860589812333,0.589,0.385,0.628,0.854,0.6454794520547945,0.45997610513739545,0.6251866600298656,0.6853932584269663,0.5244485,0.5994288,0.44285288,0.5547908,0.4993287,0.1732503,0.08515493,0.1371214,0.12623972,825,674,1009,1492,"[[589, 101, 115, 195], [102, 385, 232, 281], [75, 135, 628, 162], [59, 53, 34, 854]]"
1,1,5,0.611,0.6005051769824237,0.6167664046652017,0.611,0.711352657004831,0.5614814814814815,0.6252545824847251,0.568976897689769,0.589,0.379,0.614,0.862,0.6444201312910285,0.4525373134328358,0.6195761856710393,0.6854870775347912,0.52347034,0.59860545,0.43927896,0.55539995,0.4992211,0.17279996,0.0867896,0.13566016,0.12596571,828,675,982,1515,"[[589, 104, 110, 197], [104, 379, 228, 289], [80, 139, 614, 167], [55, 53, 30, 862]]"
