test_set,blur_size,noise_level,accuracy,f1,confidence_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,confidence_immune,confidence_other,confidence_stromal,confidence_tumour
test_set_1,19,30,0.25475,0.1698363794272963,0.78754115,0.2508361204013378,0.0,0.25904562139486104,0.0,0.525,0.0,0.494,0.0,0.7816457,nan,0.7831405,nan
test_set_2,0,0,0.60175,0.561198007914031,0.7366819,0.633535660091047,0.3994413407821229,0.5207373271889401,0.6973365617433414,0.835,0.143,0.565,0.864,0.8109369,0.6178271,0.7557737,0.8020115
test_set_2,1,0,0.60175,0.561198007914031,0.7366819,0.633535660091047,0.3994413407821229,0.5207373271889401,0.6973365617433414,0.835,0.143,0.565,0.864,0.8109369,0.6178271,0.7557737,0.8020115
test_set_2,3,0,0.48475,0.4177188203151567,0.7305087,0.37989711119905023,0.4057971014492754,0.680379746835443,0.6947988223748773,0.96,0.056,0.215,0.708,0.8843106,0.54194885,0.5928606,0.7405487
test_set_2,5,0,0.37725,0.28576690764470064,0.77462685,0.3033014501697007,0.2619047619047619,0.631578947368421,0.7285491419656787,0.983,0.011,0.048,0.467,0.9153208,0.49939153,0.54557806,0.6913014
test_set_2,7,0,0.30475,0.19497037675514628,0.82033485,0.27168262653898767,0.14285714285714285,0.6206896551724138,0.6699029126213593,0.993,0.001,0.018,0.207,0.92993563,0.503511,0.53907496,0.6549369
test_set_2,9,0,0.283,0.16259616326456852,0.8390497,0.2640106241699867,0.0,0.6153846153846154,0.5865384615384616,0.994,0.0,0.016,0.122,0.93458766,nan,0.5103198,0.6390216
test_set_2,19,0,0.2575,0.11767072213500784,0.83460736,0.2551282051282051,0.0,0.375,0.34782608695652173,0.995,0.0,0.003,0.032,0.89251345,nan,0.51387405,0.6067113
test_set_2,0,1,0.3155,0.2051021167294455,0.64882374,0.41824644549763035,0.0,0.28811410459587955,0.0,0.353,0.0,0.909,0.0,0.57411164,nan,0.7016259,nan
test_set_2,1,1,0.31925,0.20799295256412637,0.6501663,0.42258440046565776,0.0,0.2909901305316778,0.0,0.363,0.0,0.914,0.0,0.57537407,nan,0.7029245,nan
test_set_2,3,1,0.3205,0.2105655729079621,0.6471547,0.4309954751131222,0.0,0.28915275994865214,0.0,0.381,0.0,0.901,0.0,0.57682216,nan,0.6990537,nan
test_set_2,5,1,0.326,0.21593605388513312,0.64667815,0.4500561167227834,0.0,0.2905405405405405,0.0,0.401,0.0,0.903,0.0,0.5796797,nan,0.69662863,nan
test_set_2,7,1,0.322,0.21278404934702808,0.6466205,0.44649021864211735,0.0,0.28763183125599234,0.0,0.388,0.0,0.9,0.0,0.5841472,nan,0.6928308,nan
test_set_2,9,1,0.324,0.21372544841132268,0.64628077,0.44988344988344986,0.0,0.28962444302991724,0.0,0.386,0.0,0.91,0.0,0.5859893,nan,0.68759966,nan
test_set_2,19,1,0.30825,0.19957579227711544,0.6454887,0.4837133550488599,0.5,0.2761679479597871,0.0,0.297,0.002,0.934,0.0,0.5841226,0.43149155,0.67785484,nan
test_set_2,0,3,0.2525,0.10518128884817633,0.78590316,0.8333333333333334,0.0,0.25075225677031093,0.0,0.01,0.0,1.0,0.0,0.5524513,nan,0.8100309,nan
test_set_2,1,3,0.25125,0.10260523363622828,0.78632617,0.8333333333333334,0.0,0.25037556334501754,0.0,0.005,0.0,1.0,0.0,0.5353681,nan,0.8085524,nan
test_set_2,3,3,0.2515,0.10397652283094022,0.78560126,0.7272727272727273,0.0,0.25018801704687893,0.0,0.008,0.0,0.998,0.0,0.53804195,nan,0.80643296,nan
test_set_2,5,3,0.25125,0.10303628663003664,0.7867008,0.75,0.0,0.250250501002004,0.0,0.006,0.0,0.999,0.0,0.5539998,nan,0.811296,nan
test_set_2,7,3,0.251,0.1025402548840049,0.78750926,0.625,0.0,0.250250501002004,0.0,0.005,0.0,0.999,0.0,0.53802806,nan,0.8104376,nan
test_set_2,9,3,0.2515,0.1031364468864469,0.7879169,0.75,0.0,0.250501002004008,0.0,0.006,0.0,1.0,0.0,0.5583166,nan,0.80829835,nan
test_set_2,19,3,0.25025,0.10053901800241054,0.8004811,0.5,0.0,0.25012506253126565,0.0,0.001,0.0,1.0,0.0,0.5077279,nan,0.8202583,nan
test_set_2,0,5,0.25,0.10002000400080016,0.82029873,0.0,0.0,0.25006251562890724,0.0,0.0,0.0,1.0,0.0,nan,nan,0.8307219,nan
test_set_2,1,5,0.25,0.10006003602161297,0.8197988,0.0,0.0,0.2501876407305479,0.0,0.0,0.0,1.0,0.0,nan,nan,0.8259418,nan
test_set_2,3,5,0.25025,0.10139243721333274,0.8203237,0.6,0.0,0.2498122653316646,0.0,0.003,0.0,0.998,0.0,0.56926304,nan,0.8287761,nan
test_set_2,5,5,0.25075,0.10200809559941114,0.81933826,0.6666666666666666,0.0,0.25012518778167253,0.0,0.004,0.0,0.999,0.0,0.56257725,nan,0.8274687,nan
test_set_2,7,5,0.25025,0.1009950248756219,0.8225235,0.4,0.0,0.2500625782227785,0.0,0.002,0.0,0.999,0.0,0.5428126,nan,0.8299512,nan
test_set_2,9,5,0.25,0.10004001600640255,0.82016474,0.0,0.0,0.25012506253126565,0.0,0.0,0.0,1.0,0.0,nan,nan,0.82905614,nan
test_set_2,19,5,0.2505,0.10103801999841852,0.82359105,1.0,0.0,0.25012506253126565,0.0,0.002,0.0,1.0,0.0,0.5062324,nan,0.8306366,nan
test_set_2,0,10,0.24725,0.13143193909822093,0.737893,0.2532981530343008,0.0,0.24661695664181166,0.0,0.096,0.0,0.893,0.0,0.5982492,nan,0.7554369,nan
test_set_2,1,10,0.24975,0.13151494812345474,0.73901004,0.24664879356568364,0.0,0.2500689274882823,0.0,0.092,0.0,0.907,0.0,0.5931472,nan,0.7560465,nan
test_set_2,3,10,0.25325,0.13598372650252413,0.7388323,0.26463104325699743,0.0,0.2520099805932908,0.0,0.104,0.0,0.909,0.0,0.58619153,nan,0.75358194,nan
test_set_2,5,10,0.2525,0.13620908631849551,0.73686916,0.24883720930232558,0.0,0.2529411764705882,0.0,0.107,0.0,0.903,0.0,0.60661757,nan,0.75245994,nan
test_set_2,7,10,0.25275,0.13382800982800985,0.7403306,0.256,0.0,0.2524137931034483,0.0,0.096,0.0,0.915,0.0,0.5991803,nan,0.760944,nan
test_set_2,9,10,0.24225,0.12740293356341675,0.7362556,0.20941176470588235,0.0,0.24615384615384617,0.0,0.089,0.0,0.88,0.0,0.5897944,nan,0.7566308,nan
test_set_2,19,10,0.248,0.13138787951185113,0.7315313,0.2289156626506024,0.0,0.2502092050209205,0.0,0.095,0.0,0.897,0.0,0.582507,nan,0.7496918,nan
test_set_2,0,20,0.2495,0.16289973109316144,0.74116004,0.24598183088749126,0.0,0.2514597119501752,0.0,0.352,0.0,0.646,0.0,0.71557087,nan,0.7625055,nan
test_set_2,1,20,0.2625,0.17175863873736075,0.7455682,0.26275331935709295,0.0,0.2623588945114831,0.0,0.376,0.0,0.674,0.0,0.70199925,nan,0.770562,nan
test_set_2,3,20,0.254,0.16621010920756762,0.7479904,0.24731182795698925,0.0,0.25796178343949044,0.0,0.368,0.0,0.648,0.0,0.72030294,nan,0.76616794,nan
test_set_2,5,20,0.252,0.16427118405183858,0.7486261,0.2538405267008047,0.0,0.25104443600455756,0.0,0.347,0.0,0.661,0.0,0.710585,nan,0.7734704,nan
test_set_2,7,20,0.24725,0.161396889576643,0.7449089,0.24575070821529746,0.0,0.24806800618238023,0.0,0.347,0.0,0.642,0.0,0.70554626,nan,0.76579297,nan
test_set_2,9,20,0.2485,0.16253609426849586,0.7449011,0.24807826694619148,0.0,0.2487349163098482,0.0,0.355,0.0,0.639,0.0,0.71714187,nan,0.7707683,nan
test_set_2,19,20,0.25825,0.16952080359153185,0.74252653,0.26452064380685797,0.0,0.2547646830027227,0.0,0.378,0.0,0.655,0.0,0.71662426,nan,0.75869757,nan
test_set_2,0,30,0.25725,0.17141239999626298,0.7898807,0.2574021012416428,0.0,0.2570828961175236,0.0,0.539,0.0,0.49,0.0,0.7945706,nan,0.79401314,nan
test_set_2,1,30,0.248,0.1652487691507905,0.7913692,0.2489208633093525,0.0,0.24699738903394255,0.0,0.519,0.0,0.473,0.0,0.7949153,nan,0.7937049,nan
test_set_2,3,30,0.2485,0.16554488991908864,0.78589267,0.25107810253953045,0.0,0.2456874019864088,0.0,0.524,0.0,0.47,0.0,0.79296744,nan,0.7875492,nan
test_set_2,5,30,0.255,0.1698710879973819,0.7853643,0.2611434108527132,0.0,0.2484504132231405,0.0,0.539,0.0,0.481,0.0,0.77975947,nan,0.77819747,nan
test_set_2,7,30,0.26675,0.17784522337099878,0.7928724,0.2627526467757459,0.0,0.27107180020811655,0.0,0.546,0.0,0.521,0.0,0.7997243,nan,0.7952938,nan
test_set_2,9,30,0.24975,0.166535590248448,0.78575855,0.24463937621832357,0.0,0.2551334702258727,0.0,0.502,0.0,0.497,0.0,0.797923,nan,0.76885194,nan
test_set_2,19,30,0.24975,0.16642295251487105,0.7898333,0.2520561199806483,0.0,0.24728401448525608,0.0,0.521,0.0,0.478,0.0,0.7892083,nan,0.7812791,nan
test_set_3,0,0,0.59475,0.5534011829957162,0.7322976,0.6182380216383307,0.39104477611940297,0.5167548500881834,0.6968472109943411,0.8,0.131,0.586,0.862,0.7946274,0.64461803,0.7659669,0.7923982
test_set_3,1,0,0.59475,0.5534011829957162,0.7322976,0.6182380216383307,0.39104477611940297,0.5167548500881834,0.6968472109943411,0.8,0.131,0.586,0.862,0.7946274,0.64461803,0.7659669,0.7923982
