test_set,blur_size,noise_level,accuracy,f1,confidence_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,confidence_immune,confidence_other,confidence_stromal,confidence_tumour
2,5,1,0.3875,0.3667937003107619,0.6252994,0.5880597014925373,0.18303571428571427,0.5866666666666667,0.370975730559683,0.197,0.164,0.44,0.749,0.5576299,0.6324078,0.6252967,0.6902552
2,7,1,0.35025,0.33804320376505154,0.637225,0.6441717791411042,0.18579234972677597,0.5752753977968176,0.3560411311053985,0.105,0.272,0.47,0.554,0.51007843,0.658537,0.63955444,0.6441472
2,9,1,0.32675,0.3178619738998109,0.64652854,0.6343283582089553,0.1879120879120879,0.543646408839779,0.34005258545135847,0.085,0.342,0.492,0.388,0.5151052,0.6809858,0.657753,0.6104103
2,19,1,0.31075,0.28712968469607203,0.6850514,0.6689655172413793,0.19503849443969204,0.4930675909878683,0.3333333333333333,0.097,0.456,0.569,0.121,0.52697337,0.70966554,0.6831888,0.5148287
2,0,3,0.58175,0.548137729657401,0.62996006,0.7200811359026369,0.32653061224489793,0.45375,0.7273576097105509,0.71,0.112,0.726,0.779,0.71330386,0.5081266,0.6913332,0.64106816
2,1,3,0.59075,0.5389765938615363,0.64612937,0.6362903225806451,0.33877551020408164,0.5065252854812398,0.6749418153607447,0.789,0.083,0.621,0.87,0.7445046,0.5125826,0.6755762,0.68666375
2,3,3,0.487,0.45588754526867376,0.63905615,0.6823161189358372,0.24750499001996007,0.5410885805763074,0.4581383255330213,0.436,0.124,0.507,0.881,0.65435624,0.5659305,0.67578197,0.73064584
2,5,3,0.36625,0.32282522439057776,0.67092896,0.7777777777777778,0.18241577649958915,0.5707491082045184,0.3837638376383764,0.035,0.222,0.48,0.728,0.5254259,0.6533529,0.6959253,0.7034931
2,7,3,0.33225,0.29975140557301305,0.6849697,1.0,0.1816009557945042,0.5554285714285714,0.3671061762664816,0.01,0.304,0.486,0.529,0.4304009,0.69119185,0.7253815,0.66003466
2,9,3,0.31525,0.28603958666205404,0.69606507,1.0,0.1878121878121878,0.5345005149330587,0.3532289628180039,0.005,0.376,0.519,0.361,0.3977276,0.7044522,0.74102324,0.62733746
2,19,3,0.30125,0.24507687007288192,0.7490119,1.0,0.20178643930166465,0.4754863813229572,0.3673469387755102,0.007,0.497,0.611,0.09,0.45557278,0.7327312,0.77338594,0.54941696
2,0,5,0.501,0.4905312568494636,0.62143093,0.7929634641407307,0.23887973640856672,0.39731476877175537,0.7371695178849145,0.586,0.145,0.799,0.474,0.6634942,0.54065573,0.72025645,0.6033444
2,1,5,0.54325,0.5262741309015527,0.62519205,0.7587006960556845,0.2767175572519084,0.43247962747380675,0.7042410714285714,0.654,0.145,0.743,0.631,0.6836356,0.5343509,0.70781803,0.6262291
2,3,5,0.4545,0.43856552987213254,0.6317766,0.7523510971786834,0.24170616113744076,0.495928338762215,0.5107296137339056,0.24,0.255,0.609,0.714,0.59780777,0.5762848,0.71579117,0.66996264
2,5,5,0.355,0.31584730415741785,0.68580955,1.0,0.20573065902578797,0.5281473899692938,0.42599843382928737,0.001,0.359,0.516,0.544,0.39347076,0.66389644,0.75516135,0.64207536
2,7,5,0.3285,0.2952707005937426,0.7091138,0.0,0.20710612435717626,0.5307377049180327,0.39887005649717516,0.0,0.443,0.518,0.353,nan,0.69528335,0.7737862,0.6003098
2,9,5,0.30625,0.26628759093797294,0.7323987,0.0,0.2045360824742268,0.5075757575757576,0.371868978805395,0.0,0.496,0.536,0.193,nan,0.71763605,0.79041207,0.5829214
2,19,5,0.2955,0.22356214103959823,0.79852176,0.0,0.20438799076212472,0.47090352220520676,0.375,0.0,0.531,0.615,0.036,nan,0.77470535,0.820955,0.538328
2,0,10,0.31575,0.2372518168893939,0.67420006,0.9269406392694064,0.14938488576449913,0.29817380352644834,0.7777777777777778,0.203,0.085,0.947,0.028,0.5795047,0.5908339,0.7730731,0.4841095
2,1,10,0.33525,0.27342670635410415,0.65775007,0.9010989010989011,0.1686046511627907,0.3108790838666218,0.8,0.246,0.116,0.923,0.056,0.60598767,0.58658373,0.7581953,0.5089072
2,3,10,0.30225,0.2336176533325651,0.6542681,0.8125,0.18093607305936074,0.3764478764478765,0.61875,0.013,0.317,0.78,0.099,0.42922047,0.6225115,0.7431836,0.57788426
2,5,10,0.29525,0.22454938837075009,0.72094524,0.0,0.19886822958771222,0.4416033172080166,0.6329113924050633,0.0,0.492,0.639,0.05,nan,0.694605,0.75906825,0.5647938
2,7,10,0.2915,0.21200254345574354,0.75857985,0.0,0.20411985018726592,0.46524064171123,0.5714285714285714,0.0,0.545,0.609,0.012,nan,0.7343434,0.7688975,0.51347226
2,9,10,0.29025,0.20765671135763192,0.7799799,0.0,0.20386904761904762,0.46712538226299694,0.5,0.0,0.548,0.611,0.002,nan,0.757754,0.7773086,0.48450553
2,19,10,0.2885,0.20357491025449875,0.8121232,0.0,0.19525691699604744,0.4489795918367347,0.0,0.0,0.494,0.66,0.0,nan,0.8053773,0.7954159,nan
2,0,20,0.24975,0.1,0.9040494,0.0,0.0,0.2500625782227785,0.0,0.0,0.0,0.999,0.0,nan,nan,0.9218394,nan
2,1,20,0.24975,0.1,0.8949783,0.0,0.0,0.2500625782227785,0.0,0.0,0.0,0.999,0.0,nan,nan,0.9165192,nan
2,3,20,0.25025,0.10208496088835275,0.8516751,0.0,0.07142857142857142,0.2521475492673067,0.0,0.0,0.003,0.998,0.0,nan,0.52738214,0.89613175,nan
2,5,20,0.2545,0.11489784705061064,0.8270456,0.0,0.09057971014492754,0.2666487647690655,0.0,0.0,0.025,0.993,0.0,nan,0.587606,0.882713,nan
2,7,20,0.25375,0.11660027056218963,0.8241788,0.0,0.0855457227138643,0.26932532095055994,0.0,0.0,0.029,0.986,0.0,nan,0.6430101,0.8830861,nan
2,9,20,0.25425,0.1181390188450334,0.8264884,0.0,0.09217877094972067,0.2701812191103789,0.0,0.0,0.033,0.984,0.0,nan,0.64684826,0.88607174,nan
